Site,Date,Time,Analyte,Result
HOGNW16,1/4/2019,9:51,pH,7.52
HOGNW16,1/4/2019,9:51,Turb,2.89
POSNW16,1/4/2019,9:38,Temp,20.2
POSNW16,1/4/2019,9:38,DO_Sat,93.8
POSNW16,1/4/2019,9:38,DO,8.49
POSNW16,1/4/2019,9:38,SpCond,249
POSNW16,1/4/2019,9:38,pH,7.35
POSNW16,1/4/2019,9:38,Turb,2.79
HOGDN,1/4/2019,9:15,Temp,20.1
HOGDN,1/4/2019,9:15,DO_Sat,44.6
HOGDN,1/4/2019,9:15,DO,4.05
HOGDN,1/4/2019,9:15,SpCond,235.6
HOGDN,1/4/2019,9:15,pH,6.75
HOGDN,1/4/2019,9:15,Turb,1.18
TUM441,1/18/2019,11:43,Temp,16.7
TUM441,1/18/2019,11:43,DO_Sat,139.5
TUM441,1/18/2019,11:43,DO,13.57
TUM441,1/18/2019,11:43,SpCond,390.2
TUM441,1/18/2019,11:43,pH,8.62
TUM441,1/18/2019,11:43,Turb,0.75
SWB,1/18/2019,11:27,Temp,18.4
SWB,1/18/2019,11:27,DO_Sat,98.3
SWB,1/18/2019,11:27,DO,9.2
SWB,1/18/2019,11:27,SpCond,795
SWB,1/18/2019,11:27,pH,7.47
SWB,1/18/2019,11:27,Turb,3.6
HAT,1/18/2019,10:38,Temp,10.9
HAT,1/18/2019,10:38,DO_Sat,89.9
HAT,1/18/2019,10:38,DO,9.91
HAT,1/18/2019,10:38,SpCond,74.8
HAT,1/18/2019,10:38,pH,6.78
HAT,1/18/2019,10:38,Turb,2.3
HOGNW16,1/18/2019,9:59,Temp,13.6
HOGNW16,1/18/2019,9:59,DO_Sat,95.7
HOGNW16,1/18/2019,9:59,DO,9.93
HOGNW16,1/18/2019,9:59,SpCond,262.9
HOGNW16,1/18/2019,9:59,pH,7.74
HOGNW16,1/18/2019,9:59,Turb,1.87
POSNW16,1/18/2019,9:39,Temp,13.3
POSNW16,1/18/2019,9:39,DO_Sat,97.1
POSNW16,1/18/2019,9:39,DO,10.16
POSNW16,1/18/2019,9:39,SpCond,257
POSNW16,1/18/2019,9:39,pH,7.49
POSNW16,1/18/2019,9:39,Turb,1.5
HOGDN,1/18/2019,9:14,Temp,11.2
HOGDN,1/18/2019,9:14,DO_Sat,75.1
HOGDN,1/18/2019,9:14,DO,8.23
HOGDN,1/18/2019,9:14,SpCond,254
HOGDN,1/18/2019,9:14,pH,6.93
HOGDN,1/18/2019,9:14,Turb,1.15
TUM441,1/25/2019,12:12,Temp,15.2
TUM441,1/25/2019,12:12,DO_Sat,107.3
TUM441,1/25/2019,12:12,DO,10.75
TUM441,1/25/2019,12:12,SpCond,271.6
TUM441,1/25/2019,12:12,pH,8.03
TUM441,1/25/2019,12:12,Turb,3.37
SWB,1/25/2019,11:57,Temp,17.5
SWB,1/25/2019,11:57,DO_Sat,99.6
SWB,1/25/2019,11:57,DO,9.51
SWB,1/25/2019,11:57,SpCond,589
SWB,1/25/2019,11:57,pH,7.54
SWB,1/25/2019,11:57,Turb,2.2
HAT,1/25/2019,11:13,Temp,13.1
HAT,1/25/2019,11:13,DO_Sat,82
HAT,1/25/2019,11:13,DO,8.58
HAT,1/25/2019,11:13,SpCond,57.8
HAT,1/25/2019,11:13,pH,5.77
HAT,1/25/2019,11:13,Turb,2.75
HOGNW16,1/25/2019,10:33,Temp,13.4
HOGNW16,1/25/2019,10:33,DO_Sat,96.1
HOGNW16,1/25/2019,10:33,DO,10.01
HOGNW16,1/25/2019,10:33,SpCond,162.1
HOGNW16,1/25/2019,10:33,pH,7.55
HOGNW16,1/25/2019,10:33,Turb,7.5
POSNW16,1/25/2019,10:14,Temp,13
POSNW16,1/25/2019,10:14,DO_Sat,96.1
POSNW16,1/25/2019,10:14,DO,10.09
POSNW16,1/25/2019,10:14,SpCond,164.4
POSNW16,1/25/2019,10:14,pH,6.9
POSNW16,1/25/2019,10:14,Turb,5.03
HOGDN,1/25/2019,9:49,Temp,12.5
HOGDN,1/25/2019,9:49,DO_Sat,62
HOGDN,1/25/2019,9:49,DO,6.6
HOGDN,1/25/2019,9:49,SpCond,137.9
HOGDN,1/25/2019,9:49,pH,6.9
HOGDN,1/25/2019,9:49,Turb,5.03
TUM441,2/6/2019,14:53,Temp,20
TUM441,2/6/2019,14:53,DO_Sat,138.9
TUM441,2/6/2019,14:53,DO,12.63
TUM441,2/6/2019,14:53,SpCond,374.1
TUM441,2/6/2019,14:53,pH,8.54
TUM441,2/6/2019,14:53,Turb,0.89
SWB,2/6/2019,14:35,Temp,20.6
SWB,2/6/2019,14:35,DO_Sat,97.4
SWB,2/6/2019,14:35,DO,8.74
