Site,Date,Time,Analyte,Result
POSNW16,2018-11-13,11:54:00,SpCond,285.3
POSNW16,2018-11-29,11:30:00,SpCond,271.3
POSNW16,2018-11-08,13:10:00,SpCond,278
POSNW16,2018-12-20,10:53:00,SpCond,148.3
POSNW16,2018-12-05,09:59:00,SpCond,241.5
POSNW16,2019-02-06,12:33:00,SpCond,236.7
POSNW16,2018-09-14,12:55:00,SpCond,NA
SWB,2019-01-18,11:27:00,SpCond,795
SWB,2019-01-25,11:57:00,SpCond,589
SWB,2019-01-04,11:13:00,SpCond,770
SWB,2018-10-18,10:13:00,SpCond,858.4
SWB,2018-10-31,12:21:00,SpCond,773.8
SWB,2018-11-13,13:44:00,SpCond,837
SWB,2018-11-29,13:15:00,SpCond,801
SWB,2018-11-08,11:30:00,SpCond,843
SWB,2018-12-20,12:37:00,SpCond,175.5
SWB,2018-12-05,11:40:00,SpCond,683
SWB,2019-02-06,14:35:00,SpCond,580
TUM441,2019-01-18,11:43:00,SpCond,390.2
TUM441,2019-01-25,12:12:00,SpCond,271.6
TUM441,2019-01-04,11:28:00,SpCond,395.7
TUM441,2018-10-18,09:36:00,SpCond,405.8
TUM441,2018-10-31,12:44:00,SpCond,407.4
TUM441,2018-11-13,14:05:00,SpCond,394.1
TUM441,2018-11-29,14:17:00,SpCond,380.7
TUM441,2018-11-08,11:11:00,SpCond,395.4
TUM441,2018-12-20,12:53:00,SpCond,71.1
TUM441,2018-12-05,11:47:00,SpCond,351.8
TUM441,2019-02-06,14:53:00,SpCond,374.1
TUM441,2018-09-14,09:45:00,SpCond,NA
HAT,2019-01-18,10:38:00,Temp,10.9
HAT,2019-01-25,11:13:00,Temp,13.1
HAT,2019-01-04,10:34:00,Temp,19.4
HAT,2018-10-18,10:55:00,Temp,24.3
HAT,2018-10-31,11:32:00,Temp,17.4
HAT,2018-11-13,12:54:00,Temp,21.7
HAT,2018-11-29,12:37:00,Temp,10.06
HAT,2018-11-08,12:18:00,Temp,22
HAT,2018-12-20,11:51:00,Temp,14.8
HAT,2018-12-05,10:54:00,Temp,14.9
HAT,2019-02-06,13:41:00,Temp,16.2
HAT,2018-09-14,11:06:00,Temp,25.6
HOGDN,2019-01-18,09:14:00,Temp,11.2
HOGDN,2019-01-25,09:49:00,Temp,12.5
HOGDN,2019-01-04,09:15:00,Temp,20.1
HOGDN,2018-10-18,12:38:00,Temp,25.61
HOGDN,2018-10-31,09:46:00,Temp,16.9
HOGDN,2018-11-13,11:17:00,Temp,22.3
HOGDN,2018-11-29,11:05:00,Temp,9.4
HOGDN,2018-11-08,13:45:00,Temp,23.8
HOGDN,2018-12-20,10:28:00,Temp,15.7
HOGDN,2018-12-05,09:29:00,Temp,12.7
HOGDN,2019-02-06,12:08:00,Temp,16.7
HOGNW16,2019-01-18,09:59:00,Temp,13.6
HOGNW16,2019-01-25,10:33:00,Temp,13.4
HOGNW16,2019-01-04,09:51:00,Temp,20.4
HOGNW16,2018-10-18,11:30:00,Temp,24.58
HOGNW16,2018-10-31,10:36:00,Temp,17.8
HOGNW16,2018-11-13,12:13:00,Temp,22.8
HOGNW16,2018-11-29,11:47:00,Temp,12.3
HOGNW16,2018-11-08,12:53:00,Temp,23.3
HOGNW16,2018-12-20,11:11:00,Temp,17.1
HOGNW16,2018-12-05,10:12:00,Temp,14
HOGNW16,2018-09-14,13:25:00,Temp,26.2
POSNW16,2019-01-18,09:39:00,Temp,13.3
POSNW16,2019-01-25,10:14:00,Temp,13
POSNW16,2019-01-04,09:38:00,Temp,20.2
POSNW16,2018-10-18,11:55:00,Temp,24.13
POSNW16,2018-10-31,10:15:00,Temp,17.09
POSNW16,2018-11-13,11:54:00,Temp,22.2
POSNW16,2018-11-29,11:30:00,Temp,11.6
POSNW16,2018-11-08,13:10:00,Temp,22.7
POSNW16,2018-12-20,10:53:00,Temp,16.6
POSNW16,2018-12-05,09:59:00,Temp,13.8
POSNW16,2019-02-06,12:33:00,Temp,17.7
POSNW16,2018-09-14,12:55:00,Temp,25.3
SWB,2019-01-18,11:27:00,Temp,18.4
SWB,2019-01-25,11:57:00,Temp,17.5
SWB,2019-01-04,11:13:00,Temp,22.4
SWB,2018-10-18,10:13:00,Temp,27.12
SWB,2018-10-31,12:21:00,Temp,23.3
