Site,Date,Analyte,Result
TUM441,3/22/2019,Nitrate-Nitrite (N),0.112
TUM441,3/22/2019,Specific Conductance,393.8
TUM441,4/3/2019,Nitrate-Nitrite (N),0.165666667
TUM441,4/3/2019,Specific Conductance,331.8
TUM441,4/24/2019,Nitrate-Nitrite (N),0.342333333
TUM441,4/24/2019,Specific Conductance,426.1
TUM441,5/7/2019,Nitrate-Nitrite (N),0.228333333
TUM441,5/7/2019,Specific Conductance,293
TUM441,5/24/2019,Nitrate-Nitrite (N),0.466666667
TUM441,5/24/2019,Specific Conductance,490.2
TUM441,6/6/2019,Nitrate-Nitrite (N),0.153333333
TUM441,6/6/2019,Specific Conductance,311.2
TUM441,6/18/2019,Nitrate-Nitrite (N),0.119
TUM441,6/18/2019,Specific Conductance,149.3
TUM441,7/9/2019,Nitrate-Nitrite (N),0.353
TUM441,7/9/2019,Specific Conductance,395.6
TUM441,7/29/2019,Specific Conductance,266.4
